TransactionID,Date,Product,Category,Quantity,UnitPrice_FCFA,TotalSale_FCFA,PaymentMethod,SalesRep,CustomerType
NKW-0107,2026-01-29,Beans (Red),Grains,5.0,928.0,4640.0,Bank Transfer,Florence A.,Walk-in
NKW-0108,2026-01-14,Tomatoes 1kg,Produce,12.0,859.0,10308.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0109,2026-03-24,Tomato Paste (tin),Groceries,4.0,377.0,1508.0,Bank Transfer,Florence A.,Walk-in
NKW-0110,2026-04-26,Maggi Cubes (pack),Groceries,9.0,498.0,4482.0,Cash,Ernest M.,Walk-in
NKW-0111,2026-06-28,Rice 25kg,Grains,14.0,18393.0,257502.0,Mobile Money,Beatrice T.,Walk-in
NKW-0112,2026-03-31,Sugar 1kg,Groceres,1.0,753.0,753.0,Bank Transfer,Florence A.,Walk-in
NKW-0113,2026-02-02,Cassava (bag),Produce,7.0,4019.0,28133.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0114,2026-01-10,Palm Oil 1L,Oils,13.0,1473.0,19149.0,Mobile Money,Divine K.,Walk-in
NKW-0115,2026-01-17,Tomato Paste (tin),Groceries,5.0,345.0,1725.0,Orange Money,Ernest M.,Walk-in
NKW-0116,2026-01-12,Plantain (bunch),Produce,13.0,2397.0,31161.0,Bank Transfer,Divine K.,Walk-in
NKW-0117,2026-03-14,Onions 1kg,Produce,16.0,709.0,11344.0,Orange Money,Beatrice T.,Walk-in
NKW-0118,2026-01-30,Maggi Cubes (pack),Groceres,5.0,478.0,2390.0,Cash,Divine K.,Wholesale
NKW-0119,2026-03-09,Plantain (bunch),Produce,5.0,2678.0,13390.0,Cash,Beatrice T.,Walk-in
NKW-0120,2026-03-15,Soap (bar),Household,20.0,396.0,7920.0,Cash,Florence A.,Walk-in
NKW-0121,2026-04-23,Maggi Cubes (pack),Groceries,18.0,521.0,9378.0,Cash,Florence A.,Walk-in
NKW-0122,2026-06-01,Beans (White),Grains,18.0,827.0,14886.0,Cash,Ernest M.,Walk-in
NKW-0123,2026-03-15,Milk Powder 400g,Dairy,3.0,2895.0,8685.0,Cash,Florence A.,Wholesale
NKW-0124,2026-05-06,Salt 1kg,Groceres,8.0,299.0,2392.0,Bank Transfer,Ernest M.,Walk-in
NKW-0125,2026-02-13,Bread (loaf),Bakery,5.0,591.0,2955.0,Orange Money,Ernest M.,Walk-in
NKW-0126,2026-06-14,Rice 50kg,Grains,13.0,,485563.0,Orange Money,Ernest M.,Wholesale
NKW-0127,2026-01-08,Beans (Red),Grains,8.0,878.0,7024.0,Cash,Florence A.,Walk-in
NKW-0128,2026-05-24,Onions 1kg,Produce,18.0,695.0,12510.0,Cash,Ernest M.,Walk-in
NKW-0129,2026-04-14,Beans (White),Grains,11.0,896.0,9856.0,Cash,Beatrice T.,Walk-in
NKW-0130,2026-05-24,Tomatoes 1kg,Produce,11.0,855.0,9405.0,Mobile Money,Achu N.,Wholesale
NKW-0131,2026-02-12,Detergent 1kg,House hold,3.0,1842.0,5526.0,Mobile Money,Divine K.,Walk-in
NKW-0132,2026-06-14,Plantain (bunch),Produce,6.0,2567.0,15402.0,,Beatrice T.,Walk-in
NKW-0133,2026-01-02,Tomato Paste (tin),Groceries,9.0,350.0,3150.0,Bank Transfer,Divine K.,Walk-in
NKW-0134,2026-05-18,Plantain (bunch),Produce,7.0,2493.0,17451.0,Cash,Divine K.,Walk-in
NKW-0135,2026-02-13,Rice 25kg,Grains,10.0,19925.0,199250.0,Bank Transfer,Achu N.,Walk-in
NKW-0136,2026-06-19,Plantain (bunch),Produce,20.0,2484.0,49680.0,Mobile Money,Divine K.,Walk-in
NKW-0137,2026-05-30,Salt 1kg,Groceries,14.0,310.0,4340.0,Bank Transfer,Achu N.,Wholesale
NKW-0138,2026-05-17,Milk Powder 400g,Dairy,14.0,2901.0,40614.0,Cash,Florence A.,Walk-in
NKW-0139,2026-06-13,Cassava (bag),Produce,16.0,4271.0,68336.0,Orange Money,Florence A.,Walk-in
NKW-0140,2026-06-17,Rice 50kg,Grains,5.0,36962.0,184810.0,Mobile Money,Beatrice T.,Walk-in
NKW-0141,2026-03-02,Beans (White),Grains,18.0,822.0,14796.0,Bank Transfer,Divine K.,Wholesale
NKW-0142,2026-06-29,Milk Powder 400g,Dairy,18.0,2876.0,51768.0,Cash,Achu N.,Walk-in
NKW-0143,2026-01-26,Beans (Red),Grain,4.0,907.0,3628.0,Orange Money,Achu N.,Walk-in
NKW-0144,2026-02-26,Salt 1kg,Groceries,19.0,318.0,6042.0,Bank Transfer,Divine K.,Walk-in
NKW-0145,2026-02-15,Sugar 1kg,Groceries,10.0,714.0,7140.0,Mobile Money,Divine K.,Walk-in
NKW-0146,2026-03-24,Maggi Cubes (pack),Groceres,9.0,522.0,4698.0,Cash,Beatrice T.,Wholesale
NKW-0147,2026-03-26,Beans (White),Grain,16.0,819.0,13104.0,Mobile Money,Achu N.,Walk-in
NKW-0148,2026-03-07,Palm Oil 1L,Oils,16.0,1506.0,24096.0,Orange Money,Divine K.,Walk-in
NKW-0149,2026-04-15,Vegetable Oil 5L,Oils,18.0,7516.0,135288.0,Orange Money,Divine K.,Walk-in
NKW-0150,2026-02-05,Bread (loaf),Bakery,3.0,,1827.0,Orange Money,Achu N.,Walk-in
NKW-0151,2026-04-29,Maggi Cubes (pack),Groceries,2.0,512.0,1024.0,Bank Transfer,Florence A.,Walk-in
NKW-0152,2026-02-09,Detergent 1kg,Household,9.0,1754.0,15786.0,Cash,Achu N.,Wholesale
NKW-0153,2026-05-27,Rice 50kg,Grains,18.0,34417.0,619506.0,Orange Money,Florence A.,Wholesale
NKW-0154,2026-02-11,Milk Powder 400g,Dairy,9.0,2933.0,26397.0,Cash,Divine K.,Walk-in
NKW-0155,2026-01-23,Tomatoes 1kg,Produce,3.0,792.0,2376.0,Bank Transfer,Florence A.,Wholesale
NKW-0156,2026-01-24,Matches (box),Household,13.0,102.0,1326.0,Mobile Money,Beatrice T.,Walk-in
NKW-0157,2026-02-12,Milk Powder 400g,Dairy,20.0,2881.0,57620.0,Cash,Beatrice T.,Walk-in
NKW-0158,2026-03-21,Salt 1kg,Groceries,3.0,305.0,915.0,Mobile Money,Beatrice T.,Walk-in
NKW-0159,2026-06-14,Salt 1kg,Groceres,16.0,303.0,4848.0,Orange Money,Beatrice T.,Walk-in
NKW-0160,2026-03-12,Rice 25kg,Grain,7.0,19406.0,135842.0,Mobile Money,Florence A.,Walk-in
NKW-0161,2026-02-03,Rice 50kg,Grains,7.0,37526.0,262682.0,Orange Money,,Walk-in
NKW-0162,2026-03-19,Palm Oil 5L,Oils,1.0,6977.0,6977.0,Orange Money,Florence A.,Wholesale
NKW-0163,2026-05-12,Vegetable Oil 5L,Oils,4.0,7163.0,28652.0,Cash,Divine K.,Wholesale
NKW-0164,2026-03-04,Bread (loaf),Bakery,9.0,586.0,5274.0,Cash,Ernest M.,Walk-in
NKW-0165,2026-04-13,Vegetable Oil 5L,Oils,11.0,7101.0,78111.0,Cash,Divine K.,Walk-in
NKW-0166,2026-03-04,Tomatoes 1kg,Produce,15.0,798.0,11970.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0167,2026-04-23,Rice 50kg,Grains,2.0,36400.0,72800.0,Mobile Money,Achu N.,Walk-in
NKW-0168,2026-06-26,Vegetable Oil 5L,Oils,16.0,7137.0,114192.0,Orange Money,Florence A.,Walk-in
NKW-0169,2026-01-29,Salt 1kg,Groceries,11.0,291.0,3201.0,Bank Transfer,Divine K.,Walk-in
NKW-0170,2026-06-28,Palm Oil 1L,Oils,17.0,1415.0,24055.0,,Achu N.,Wholesale
NKW-0171,2026-01-02,Matches (box),House hold,2.0,102.0,204.0,Orange Money,Achu N.,Walk-in
NKW-0172,2026-03-27,Palm Oil 5L,Oils,16.0,6614.0,105824.0,Mobile Money,Florence A.,Walk-in
NKW-0173,2026-05-30,Beans (White),Grains,16.0,818.0,13088.0,Bank Transfer,Achu N.,Wholesale
NKW-0174,2026-06-22,Detergent 1kg,Household,10.0,1925.0,19250.0,Cash,Beatrice T.,Walk-in
NKW-0175,2026-01-30,Salt 1kg,Groceres,3.0,301.0,903.0,Cash,Florence A.,Walk-in
NKW-0176,2026-05-15,Tomatoes 1kg,Produce,9.0,845.0,7605.0,Orange Money,Ernest M.,Walk-in
NKW-0177,2026-02-09,Onions 1kg,Produce,14.0,725.0,10150.0,Bank Transfer,Florence A.,Wholesale
NKW-0178,2026-04-08,Bread (loaf),Bakery,20.0,648.0,12960.0,Orange Money,Florence A.,Walk-in
NKW-0179,2026-04-21,Beans (Red),Grains,4.0,942.0,3768.0,Orange Money,Beatrice T.,Walk-in
NKW-0180,2026-01-29,Rice 25kg,Grain,14.0,17935.0,251090.0,Cash,Achu N.,Walk-in
NKW-0181,2026-01-03,Cassava (bag),Produce,4.0,3839.0,15356.0,Mobile Money,Florence A.,Walk-in
NKW-0182,2026-05-14,Soap (bar),Household,9.0,412.0,3708.0,Bank Transfer,Ernest M.,Wholesale
NKW-0183,2026-01-21,Tomatoes 1kg,Produce,14.0,828.0,11592.0,Orange Money,Divine K.,Walk-in
NKW-0184,2026-03-20,Rice 25kg,Grain,4.0,18068.0,72272.0,Mobile Money,Ernest M.,Wholesale
NKW-0185,2026-03-06,Beans (Red),Grains,3.0,899.0,2697.0,Mobile Money,Achu N.,Wholesale
NKW-0186,2026-06-19,Onions 1kg,Produce,5.0,748.0,3740.0,Orange Money,Ernest M.,Walk-in
NKW-0187,2026-04-24,Beans (Red),Grains,14.0,912.0,12768.0,Bank Transfer,Ernest M.,Walk-in
NKW-0188,2026-04-08,Onions 1kg,Produce,,666.0,10656.0,Orange Money,Divine K.,Wholesale
NKW-0189,2026-06-16,Rice 50kg,Grains,19.0,34797.0,661143.0,Cash,Beatrice T.,Wholesale
NKW-0190,2026-05-22,Sugar 1kg,Groceries,,728.0,2184.0,Bank Transfer,Ernest M.,Wholesale
NKW-0191,2026-02-05,Palm Oil 5L,Oils,2.0,6417.0,12834.0,Bank Transfer,Beatrice T.,Wholesale
NKW-0192,2026-02-06,Sugar 1kg,Groceries,17.0,734.0,12478.0,Orange Money,Divine K.,Walk-in
NKW-0193,2026-06-14,Beans (White),Grains,11.0,820.0,9020.0,Bank Transfer,Beatrice T.,Wholesale
NKW-0194,2026-06-16,Cassava (bag),Produce,12.0,3960.0,47520.0,,Florence A.,Wholesale
NKW-0195,2026-06-24,Soap (bar),Household,14.0,390.0,5460.0,Mobile Money,Florence A.,Walk-in
NKW-0196,2026-05-26,Sugar 1kg,Groceres,20.0,778.0,15560.0,Orange Money,Achu N.,Wholesale
NKW-0197,2026-05-29,Matches (box),Household,1.0,106.0,106.0,Cash,Ernest M.,Walk-in
NKW-0198,2026-02-14,Tomato Paste (tin),Groceres,7.0,339.0,2373.0,Orange Money,Florence A.,Walk-in
NKW-0199,2026-01-22,Tomatoes 1kg,Produce,10.0,818.0,8180.0,,Beatrice T.,Walk-in
NKW-0200,2026-03-18,Detergent 1kg,House hold,19.0,1942.0,36898.0,Orange Money,Florence A.,Walk-in
NKW-0201,2026-03-22,Beans (White),Grains,12.0,905.0,10860.0,Mobile Money,Ernest M.,Walk-in
NKW-0202,2026-06-20,Plantain (bunch),Produce,10.0,2390.0,23900.0,Bank Transfer,Florence A.,Walk-in
NKW-0203,2026-04-18,Bread (loaf),Bakery,15.0,597.0,8955.0,Orange Money,Divine K.,Walk-in
NKW-0204,2026-06-13,Tomatoes 1kg,Produce,1.0,812.0,812.0,Orange Money,Divine K.,Wholesale
NKW-0205,2026-01-12,Tomatoes 1kg,Produce,17.0,791.0,13447.0,Cash,Achu N.,Wholesale
NKW-0206,2026-03-11,Maggi Cubes (pack),Groceries,11.0,496.0,5456.0,Cash,Beatrice T.,Walk-in
NKW-0207,2026-03-07,Salt 1kg,Groceres,1.0,320.0,320.0,Bank Transfer,Divine K.,Walk-in
NKW-0208,2026-01-21,Matches (box),Household,13.0,107.0,1391.0,Cash,Florence A.,Walk-in
NKW-0209,2026-02-03,Matches (box),Household,20.0,101.0,2020.0,Bank Transfer,Ernest M.,Wholesale
NKW-0210,2026-01-11,Cassava (bag),Produce,15.0,4084.0,61260.0,Bank Transfer,Achu N.,Walk-in
NKW-0211,2026-05-20,Maggi Cubes (pack),Groceres,16.0,491.0,7856.0,Mobile Money,Divine K.,Walk-in
NKW-0212,2026-01-31,Cassava (bag),Produce,9.0,4203.0,37827.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0213,2026-02-09,Beans (Red),Grains,13.0,938.0,12194.0,Mobile Money,Ernest M.,Walk-in
NKW-0214,2026-02-01,Beans (White),Grains,19.0,888.0,16872.0,Orange Money,Ernest M.,Walk-in
NKW-0215,2026-06-27,Detergent 1kg,Household,3.0,1902.0,5706.0,Bank Transfer,Ernest M.,Walk-in
NKW-0216,2026-04-10,Tomatoes 1kg,Produce,20.0,801.0,16020.0,Cash,Divine K.,Walk-in
NKW-0217,2026-04-06,Palm Oil 5L,Oils,6.0,6631.0,39786.0,Cash,Florence A.,Walk-in
NKW-0218,2026-05-24,Plantain (bunch),Produce,12.0,2398.0,28776.0,Cash,Ernest M.,Walk-in
NKW-0219,2026-06-01,Beans (Red),Grains,8.0,916.0,7328.0,Bank Transfer,Achu N.,Walk-in
NKW-0220,2026-01-22,Sugar 1kg,Groceries,16.0,792.0,12672.0,Mobile Money,Beatrice T.,Wholesale
NKW-0221,2026-05-29,Palm Oil 1L,Oils,9.0,1337.0,12033.0,Bank Transfer,Divine K.,Walk-in
NKW-0222,2026-06-07,Milk Powder 400g,Dairy,8.0,2740.0,21920.0,Mobile Money,Ernest M.,Walk-in
NKW-0223,2026-02-08,Salt 1kg,Groceres,2.0,309.0,618.0,Mobile Money,Divine K.,Wholesale
NKW-0224,2026-01-16,Soap (bar),House hold,3.0,395.0,1185.0,Mobile Money,Ernest M.,Walk-in
NKW-0225,2026-05-19,Onions 1kg,Produce,2.0,733.0,1466.0,Cash,Achu N.,Wholesale
NKW-0226,2026-03-27,Tomato Paste (tin),Groceries,6.0,336.0,2016.0,Cash,Florence A.,Walk-in
NKW-0227,2026-06-24,Detergent 1kg,House hold,19.0,1860.0,35340.0,Orange Money,Divine K.,Walk-in
NKW-0228,2026-05-20,Beans (White),Grains,12.0,814.0,9768.0,Orange Money,Beatrice T.,Walk-in
NKW-0229,2026-01-21,Detergent 1kg,Household,1.0,1770.0,1770.0,Mobile Money,Florence A.,Wholesale
NKW-0230,2026-06-27,Tomatoes 1kg,Produce,7.0,810.0,5670.0,Mobile Money,Ernest M.,Walk-in
NKW-0231,2026-06-07,Bread (loaf),Bakery,14.0,589.0,8246.0,Mobile Money,Divine K.,Walk-in
NKW-0232,2026-05-18,Salt 1kg,Groceries,10.0,292.0,2920.0,Bank Transfer,Florence A.,Wholesale
NKW-0233,2026-05-06,Palm Oil 1L,Oils,2.0,1346.0,2692.0,Mobile Money,Florence A.,Walk-in
NKW-0234,2026-06-28,Rice 50kg,Grains,5.0,36669.0,183345.0,Bank Transfer,Achu N.,Walk-in
